timestamp,circulating_supply
2022-03-15,30443.012482048773
2022-03-16,53906.840927523066
2022-03-17,17979.613051218126
2022-03-18,31360.963145626913
2022-03-19,15126.330092657707
2022-03-20,15700.824576729812
2022-03-21,21871.54744870736
2022-03-22,37704.33447671561
2022-03-23,26031.378277134354
2022-03-24,34404.63571241425
2022-03-25,34509.37604621198
2022-03-26,11526.17134742226
2022-03-27,22097.017898413695
2022-03-28,36012.75684736544
2022-03-29,27908.39669998925
2022-03-30,24621.644290756558
2022-03-31,29668.758727139128
2022-04-01,33669.55463193646
2022-04-02,16713.48032049038
2022-04-03,17447.641325316832
2022-04-04,24576.189670272237
2022-04-05,24577.087646407002
2022-04-06,44430.161887433766
2022-04-07,22773.84848598486
2022-04-08,25991.27252682421
2022-04-09,8982.557508181819
2022-04-10,13031.133524474797
2022-04-11,36001.93063433958
2022-04-12,27132.907448263337
2022-04-13,24058.669136067678
2022-04-14,21792.71114445143
2022-04-15,13842.798221266357
2022-04-16,7770.639415931897
2022-04-17,9823.917247108457
2022-04-18,26983.0027210781
2022-04-19,18509.807739123815
2022-04-20,25928.8409932484
2022-04-21,32699.949095563774
2022-04-22,29073.742379904943
2022-04-23,11551.487713447026
2022-04-24,12701.283081548643
2022-04-25,37446.50293366161
2022-04-26,39154.933985249256
2022-04-27,34172.5148606289
2022-04-28,29910.320536104
2022-04-29,24978.353188378987
2022-04-30,13951.911356746976
2022-05-01,17126.330322113547
2022-05-02,29926.452093980708
2022-05-03,29042.895736504182
2022-05-04,35949.150452832786
2022-05-05,52562.02143576767
2022-05-06,46715.78733564585
2022-05-07,20129.58836607864
2022-05-08,41544.65696189403
2022-05-09,115465.72671019952
2022-05-10,104602.89613202414
2022-05-11,136715.5125851176
2022-05-12,155672.00700276525
2022-05-13,66410.73595401307
2022-05-14,28119.96949881715
2022-05-15,25888.199946255303
2022-05-16,41635.008269182435
2022-05-17,32879.84448172026
2022-05-18,46143.76404082841
2022-05-19,47988.528019171485
2022-05-20,58015.481798591856
2022-05-21,15721.90623622951
2022-05-22,21144.517569055806
2022-05-23,39453.49552031114
2022-05-24,27881.105833098492
2022-05-25,27121.74600747519
2022-05-26,45041.215879016236
2022-05-27,36879.13245886941
2022-05-28,12594.046699936203
2022-05-29,12729.309540567896
2022-05-30,44964.512045657124
2022-05-31,32370.640707868817
2022-06-01,45087.469281540725
2022-06-02,30629.14933065875
2022-06-03,24730.21306792721
2022-06-04,10396.821306944972
2022-06-05,10415.20742928433
2022-06-06,34334.09253525412
2022-06-07,43088.98064718314
2022-06-08,27970.577089144586
2022-06-09,20634.148486151953
2022-06-10,38980.11965130672
2022-06-11,24550.854075927393
2022-06-12,39886.063050661316
2022-06-13,181981.38241797753
2022-06-14,93311.96970888904
2022-06-15,111497.62860370112
2022-06-16,65129.661019445004
2022-06-17,64234.53429723389
2022-06-18,100163.86021551894
2022-06-19,57944.94701724476
2022-06-20,48462.12380668301
2022-06-21,46102.83328300936
2022-06-22,51499.17651943059
2022-06-23,39653.984415887266
2022-06-24,40091.89352038177
2022-06-25,21381.43376164596
2022-06-26,21159.517103345643
2022-06-27,31061.938083304696
2022-06-28,33612.94095583835
2022-06-29,37381.1743820095
2022-06-30,54456.094271840804
2022-07-01,63426.472706322755
2022-07-02,20442.380952331416
2022-07-03,22297.564059373253
2022-07-04,30862.2353433293
2022-07-05,46215.977246041286
2022-07-06,38648.78303084346
2022-07-07,49038.354119971504
2022-07-08,57111.24851373037
2022-07-09,21092.35191595655
2022-07-10,23293.738383318472
2022-07-11,37929.788259272726
2022-07-12,45235.61034267216
2022-07-13,58160.99987790899
2022-07-14,49637.736344957426
2022-07-15,35876.8217073097
2022-07-16,27647.636539159143
2022-07-17,26192.19172588986
2022-07-18,65327.36543045762
2022-07-19,76768.61902118428
2022-07-20,75484.1873437148
2022-07-21,51871.330747263695
2022-07-22,43536.93010192927
2022-07-23,25741.062200306966
2022-07-24,22316.68666173723
2022-07-25,44141.17078334841
2022-07-26,38101.7076189383
2022-07-27,50495.87084862975
2022-07-28,54621.24816007948
2022-07-29,42538.60774954089
2022-07-30,32902.99417999555
2022-07-31,23399.831514655394
2022-08-01,31383.46088940282
2022-08-02,34260.41981620156
2022-08-03,45533.18941216416
2022-08-04,36910.830933488454
2022-08-05,50002.29913865043
2022-08-06,17460.16196441951
2022-08-07,16750.508972875592
2022-08-08,40988.921950547745
2022-08-09,38621.121611665934
2022-08-10,51834.03095117754
2022-08-11,55896.680375686614
2022-08-12,33463.83023303541
2022-08-13,29047.91416228968
2022-08-14,36465.22509810309
2022-08-15,55232.2242183017
2022-08-16,36661.805525796946
2022-08-17,46254.957621958674
2022-08-18,25099.514728136233
2022-08-19,84981.18044268274
2022-08-20,37991.738182088215
2022-08-21,30250.292426279782
2022-08-22,43949.82974215478
2022-08-23,40862.95824469742
2022-08-24,42685.451912930155
2022-08-25,31279.315124131303
2022-08-26,77284.25595478859
2022-08-27,38655.28105060179
2022-08-28,30553.274009311608
2022-08-29,51431.24619302723
2022-08-30,70948.78446877914
2022-08-31,58107.80239777201
2022-09-01,44531.777146766035
